period,strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
full_sample,sma_200_trend,2.406164,0.071719,0.116842,0.613815,-0.190342,0.545996,101.0,-0.696536,-0.011328999999999992,0.210206,0.312299,False
full_sample,sma_200_trend_bands,1.889018,0.061792,0.115107,0.536816,-0.240619,0.54682,21.0,-1.213682,-0.021255999999999997,0.13320699999999996,0.262022,False
full_sample,buy_and_hold,3.1027,0.083048,0.205763,0.403609,-0.502641,0.539031,1.0,0.0,0.0,0.0,0.0,True
