strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,is_baseline,baseline_total_return,excess_total_return,baseline_annualized_return,excess_annualized_return,baseline_sharpe,excess_sharpe,baseline_max_drawdown,excess_max_drawdown
sma_200_trend,XEQT.TO,full_sample,1714,29,1.201759,0.123041,0.099174,1.240658,-0.122885,0.547082,False,1.531357,-0.32959800000000006,0.146312,-0.023271,0.938548,0.30211,-0.297684,0.174799
sma_200_trend_bands,XEQT.TO,full_sample,1714,5,1.01329,0.108362,0.098648,1.098472,-0.146014,0.544515,False,1.531357,-0.518067,0.146312,-0.03795,0.938548,0.15992399999999984,-0.297684,0.15167
buy_and_hold,XEQT.TO,full_sample,1714,1,1.531357,0.146312,0.155892,0.938548,-0.297684,0.525394,True,1.531357,0.0,0.146312,0.0,0.938548,0.0,-0.297684,0.0
sma_200_trend,VEQT.TO,full_sample,1845,35,1.013864,0.100338,0.098852,1.015031,-0.156757,0.55081,False,1.616659,-0.602795,0.140402,-0.040064,0.888453,0.12657799999999997,-0.304636,0.147879
sma_200_trend_bands,VEQT.TO,full_sample,1845,7,0.757069,0.080027,0.102242,0.782722,-0.179443,0.548092,False,1.616659,-0.8595900000000001,0.140402,-0.060375,0.888453,-0.10573100000000002,-0.304636,0.12519300000000003
buy_and_hold,VEQT.TO,full_sample,1845,1,1.616659,0.140402,0.15803,0.888453,-0.304636,0.548265,True,1.616659,0.0,0.140402,0.0,0.888453,0.0,-0.304636,0.0
