strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
sma_200_trend,1.1078115,0.1116895,0.09901299999999999,1.1278445000000001,-0.139821,0.5489459999999999,32.0,-0.4661965,-0.0316675,0.21434399999999998,0.161339,False
sma_200_trend_bands,0.8851795,0.0941945,0.100445,0.9405969999999999,-0.1627285,0.5463035,6.0,-0.6888285000000001,-0.0491625,0.027096499999999912,0.1384315,False
buy_and_hold,1.574008,0.143357,0.15696100000000002,0.9135005,-0.30116,0.5368295000000001,1.0,0.0,0.0,0.0,0.0,True
