strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
buy_and_hold,6.28902525,-0.405086,0.389546,-0.78739125,-0.420721,0.4331075,1.0,0.0,0.0,0.0,0.0,True
buy_hold_spy,6.28902525,-0.405086,0.389546,-0.78739125,-0.420721,0.4331075,1.0,0.0,0.0,0.0,0.0,True
equal_weight_buy_hold,6.28902525,-0.405086,0.389546,-0.78739125,-0.420721,0.4331075,1.0,0.0,0.0,0.0,0.0,True
yield_curve_regime_spy,4.641493499999999,-0.40688575,0.38809425,-0.7962625,-0.41826874999999997,0.4331075,4.0,-1.64753175,-0.0017997499999999889,-0.00887124999999997,0.002452249999999989,False
sma200_monthly_spy,5.4725470000000005,-0.22673675000000001,0.1307695,-1.33125025,-0.16010575,0.3613235,12.25,-0.8164782499999992,0.17834925,-0.543859,0.26061524999999996,False
macro_composite_spy,4.1794085,-0.359413,0.2198835,-1.36143675,-0.33301375,0.43634275,103.25,-2.10961675,0.04567299999999999,-0.5740455,0.08770724999999997,False
vix_term_structure_spy,5.47811775,-0.24960074999999998,0.176818,-1.4787695,-0.27909225,0.3653365,31.5,-0.8109074999999993,0.15548525000000002,-0.69137825,0.14162874999999997,False
credit_stress_overlay_spy,3.2725715,-0.34408475,0.19652,-1.6414197499999998,-0.339544,0.35843175,72.75,-3.0164537499999997,0.06100124999999999,-0.8540285,0.08117699999999997,False
