strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
buy_and_hold,6.28902525,-0.405086,0.389546,-0.78739125,-0.420721,0.4331075,1.0,0.0,0.0,0.0,0.0,True
buy_hold_spy,6.28902525,-0.405086,0.389546,-0.78739125,-0.420721,0.4331075,1.0,0.0,0.0,0.0,0.0,True
equal_weight_buy_hold,6.28902525,-0.405086,0.389546,-0.78739125,-0.420721,0.4331075,1.0,0.0,0.0,0.0,0.0,True
trend_plus_vix_term_spy,4.143436250000001,-0.17679025,0.11363175,-1.28986675,-0.1388995,0.37102599999999997,26.75,-2.1455889999999993,0.22829575,-0.5024755,0.2818215,False
sma200_monthly_spy,5.4725470000000005,-0.22673675000000001,0.1307695,-1.33125025,-0.16010575,0.3613235,12.25,-0.8164782499999992,0.17834925,-0.543859,0.26061524999999996,False
vix_term_structure_spy,5.47811775,-0.24960074999999998,0.176818,-1.4787695,-0.27909225,0.3653365,31.5,-0.8109074999999993,0.15548525000000002,-0.69137825,0.14162874999999997,False
