strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,is_baseline,baseline_total_return,excess_total_return,baseline_annualized_return,excess_annualized_return,baseline_sharpe,excess_sharpe,baseline_max_drawdown,excess_max_drawdown
buy_and_hold,SPY,full_sample,8340,1,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
golden_cross_spy,PORTFOLIO,full_sample,8340,31,18.427729,0.093782,0.136422,0.687439,-0.337182,0.549048,False,26.286716,-7.858986999999999,0.105067,-0.01128499999999999,0.564949,0.12248999999999999,-0.551947,0.21476499999999998
tsmom_12_1_spy,PORTFOLIO,full_sample,8340,25,24.988717,0.10344,0.146634,0.705434,-0.337182,0.54891,False,26.286716,-1.2979989999999972,0.105067,-0.0016269999999999896,0.564949,0.14048499999999997,-0.551947,0.21476499999999998
sma200_monthly_spy,PORTFOLIO,full_sample,8340,41,22.236305,0.099714,0.125539,0.794288,-0.255102,0.549358,False,26.286716,-4.050410999999997,0.105067,-0.005352999999999997,0.564949,0.22933899999999996,-0.551947,0.29684499999999997
mom_ensemble_spy,PORTFOLIO,full_sample,8340,116,17.509563,0.092183,0.1213,0.759956,-0.268176,0.546486,False,26.286716,-8.777152999999998,0.105067,-0.012883999999999993,0.564949,0.19500699999999993,-0.551947,0.28377099999999994
donchian_55_20_spy,PORTFOLIO,full_sample,8340,202,2.202633,0.035796,0.088614,0.403957,-0.349033,0.540073,False,26.286716,-24.084083,0.105067,-0.069271,0.564949,-0.16099200000000002,-0.551947,0.20291399999999998
vol_target_spy_15,PORTFOLIO,full_sample,8340,6118,29.103956,0.108352,0.153022,0.708083,-0.47243,0.540209,False,26.286716,2.8172400000000017,0.105067,0.00328500000000001,0.564949,0.14313399999999998,-0.551947,0.07951699999999995
vix_regime_spy,PORTFOLIO,full_sample,8340,242,7.690743,0.067516,0.107815,0.626221,-0.369497,0.540392,False,26.286716,-18.595972999999997,0.105067,-0.03755099999999999,0.564949,0.06127199999999999,-0.551947,0.18244999999999995
vix_spike_buyer,PORTFOLIO,full_sample,8340,37,30.96652,0.110365,0.217024,0.508535,-0.667609,0.540233,False,26.286716,4.679804000000001,0.105067,0.005298000000000011,0.564949,-0.056414000000000075,-0.551947,-0.11566200000000004
target_dd_guard_spy,PORTFOLIO,full_sample,8340,148,13.248032,0.083582,0.127282,0.656664,-0.275469,0.542882,False,26.286716,-13.038683999999998,0.105067,-0.02148499999999999,0.564949,0.09171499999999999,-0.551947,0.27647799999999995
composite_regime_spy,PORTFOLIO,full_sample,8340,684,7.924724,0.068373,0.10984,0.622479,-0.35993,0.541575,False,26.286716,-18.361991999999997,0.105067,-0.03669399999999999,0.564949,0.05752999999999997,-0.551947,0.19201699999999994
buy_hold_spy,PORTFOLIO,full_sample,8340,0,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
equal_weight_buy_hold,PORTFOLIO,full_sample,8340,0,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
