period,strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades
full_sample,buy_and_hold,0.059132000000000004,0.434032,0.25902000000000003,0.5790474999999999,-0.0932065,0.53,1.0
full_sample,regime_defensive_rotation,-0.01343,-0.064629,0.028473,-2.269822,-0.01343,0.0,1.0
last_20d,buy_and_hold,-0.016688,-0.18174249999999997,0.19770400000000002,-1.474169,-0.0520155,0.4736845,1.0
last_20d,regime_defensive_rotation,-0.01343,-0.156648,0.044701,-3.504333,-0.01343,0.0,1.0
last_40d,buy_and_hold,0.022159500000000002,0.228136,0.2848675,-0.17889999999999995,-0.0932065,0.5128205,1.0
last_40d,regime_defensive_rotation,-0.01343,-0.081658,0.032055,-2.547417,-0.01343,0.0,1.0
