period,strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
covid_crash,buy_and_hold,-0.128387,0.15633350000000001,0.60589125,0.38769224999999996,-0.22398574999999998,0.47727275,1.0,0.0,0.0,0.0,0.0,True
covid_crash,buy_hold_spy,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,1.0,0.0,0.0,0.0,0.0,True
covid_crash,spy_tlt_60_40,-0.163186,-0.858003,0.388864,-2.206434,-0.177645,0.454545,1.0,0.17126999999999998,0.13044600000000006,-0.8891929999999997,0.15681099999999998,True
covid_crash,equal_weight_buy_hold,-0.136115,-0.79873,0.348181,-2.294007,-0.154142,0.454545,1.0,0.19834099999999996,0.18971899999999997,-0.976766,0.18031399999999997,True
covid_crash,dual_channel_cash_overlay,-0.134653,-0.794967,0.276061,-2.879678,-0.140685,0.454545,13.0,0.19980299999999998,0.19348200000000004,-1.562437,0.19377099999999997,False
full_sample,dual_channel_cash_overlay,5.65535,0.093113,0.08707,1.069405,-0.158496,0.560135,1071.0,-1.5949929999999997,-0.011087,0.519601,0.393451,False
full_sample,equal_weight_buy_hold,8.266085,0.110238,0.110084,1.001397,-0.265797,0.558352,1.0,1.0157420000000004,0.006038000000000002,0.45159300000000013,0.28614999999999996,True
full_sample,spy_tlt_60_40,4.605073,0.084331,0.110925,0.760251,-0.299265,0.552946,1.0,-2.64527,-0.019868999999999998,0.21044700000000005,0.25268199999999996,True
full_sample,buy_hold_spy,7.250343,0.1042,0.189522,0.549804,-0.551947,0.550708,1.0,0.0,0.0,0.0,0.0,True
full_sample,buy_and_hold,12.37268675,0.089792,0.19479675000000002,0.46020325,-0.5801665,0.5342035,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,buy_and_hold,-0.14580125,-0.12596225,0.3098535,-0.18110400000000001,-0.38539249999999997,0.492938,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,dual_channel_cash_overlay,-0.057764,-0.041357,0.087578,-0.472225,-0.094938,0.492248,67.0,0.49341799999999997,0.39237900000000003,0.666589,0.456566,False
gfc_bear,equal_weight_buy_hold,-0.201249,-0.147438,0.183515,-0.803413,-0.265797,0.491525,1.0,0.34993299999999994,0.286298,0.33540099999999995,0.285707,True
gfc_bear,spy_tlt_60_40,-0.295722,-0.220314,0.204668,-1.076446,-0.299265,0.463277,1.0,0.25545999999999996,0.213422,0.06236799999999998,0.252239,True
gfc_bear,buy_hold_spy,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,buy_hold_spy,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,buy_and_hold,-0.23861725,-0.29341975,0.22609225,-1.25952425,-0.2745,0.4602565,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,equal_weight_buy_hold,-0.236167,-0.292756,0.159954,-1.830251,-0.237428,0.441026,1.0,0.008810000000000012,0.01046999999999998,-0.5717920000000001,0.007549,True
inflation_bear_2022,spy_tlt_60_40,-0.258278,-0.318969,0.166579,-1.914819,-0.258278,0.446154,1.0,-0.013301000000000007,-0.015743000000000007,-0.65636,-0.013301000000000007,True
inflation_bear_2022,dual_channel_cash_overlay,-0.126616,-0.159753,0.078511,-2.034784,-0.126616,0.417476,91.0,0.118361,0.143473,-0.7763250000000002,0.118361,False
