strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate
rsi_mean_reversion,QQQ,post_dotcom_bull,1258,88,0.120035,0.022968,0.059039,0.389031,-0.067885,0.519084
breakout_20d,QQQ,post_dotcom_bull,1258,213,-0.166467,-0.035817,0.073712,-0.485909,-0.249304,0.558333
buy_and_hold,QQQ,gfc_bear,355,1,-0.516861,-0.403328,0.372997,-1.081317,-0.534009,0.454802
sma_trend_following,QQQ,gfc_bear,355,8,-0.233239,-0.17182,0.174064,-0.987107,-0.254084,0.492958
rsi_mean_reversion,QQQ,gfc_bear,355,35,-0.29328,-0.218396,0.234186,-0.932573,-0.358369,0.390805
breakout_20d,QQQ,gfc_bear,355,50,-0.23407,-0.172457,0.068169,-2.52986,-0.233687,0.305556
buy_and_hold,QQQ,post_gfc_bull,2756,1,8.676362,0.230638,0.175876,1.31137,-0.22795,0.563339
sma_trend_following,QQQ,post_gfc_bull,2756,51,2.298279,0.115297,0.138276,0.833819,-0.239052,0.556846
rsi_mean_reversion,QQQ,post_gfc_bull,2756,152,1.406156,0.083595,0.082719,1.010588,-0.084456,0.60177
breakout_20d,QQQ,post_gfc_bull,2756,557,0.352418,0.027989,0.054926,0.509576,-0.108678,0.580694
buy_and_hold,QQQ,covid_crash,23,1,-0.272798,-0.969506,0.783697,-1.237092,-0.278923,0.409091
sma_trend_following,QQQ,covid_crash,23,2,-0.131502,-0.786637,0.453466,-1.734721,-0.175546,0.384615
rsi_mean_reversion,QQQ,covid_crash,23,8,-0.01221,-0.125936,0.654394,-0.192447,-0.162392,0.571429
breakout_20d,QQQ,covid_crash,23,0,0.0,0.0,0.0,0.0,0.0,0.0
buy_and_hold,QQQ,covid_rebound,449,1,1.183255,0.549963,0.225812,2.435496,-0.127523,0.598214
sma_trend_following,QQQ,covid_rebound,449,9,0.521521,0.265619,0.190635,1.393338,-0.130426,0.594972
rsi_mean_reversion,QQQ,covid_rebound,449,16,0.108678,0.059612,0.082264,0.724647,-0.058436,0.676471
breakout_20d,QQQ,covid_rebound,449,100,0.041151,0.022891,0.103485,0.221205,-0.081151,0.606299
buy_and_hold,QQQ,inflation_bear_2022,196,1,-0.343185,-0.417516,0.321556,-1.298425,-0.342856,0.441026
sma_trend_following,QQQ,inflation_bear_2022,196,6,-0.181653,-0.227209,0.15337,-1.481446,-0.18907,0.396226
rsi_mean_reversion,QQQ,inflation_bear_2022,196,30,0.0593,0.07688,0.174488,0.440604,-0.102388,0.471698
breakout_20d,QQQ,inflation_bear_2022,196,18,0.005083,0.00654,0.050598,0.129259,-0.021361,0.4
buy_and_hold,QQQ,ai_bull_2023_2024,502,1,0.956873,0.400755,0.179041,2.238348,-0.135593,0.578842
sma_trend_following,QQQ,ai_bull_2023_2024,502,7,0.427135,0.195474,0.150275,1.300776,-0.13439,0.551075
rsi_mean_reversion,QQQ,ai_bull_2023_2024,502,26,0.08923,0.043839,0.065284,0.671519,-0.054622,0.627907
breakout_20d,QQQ,ai_bull_2023_2024,502,100,0.184394,0.088665,0.073151,1.212095,-0.051891,0.565217
buy_and_hold,QQQ,chop_2015_2016,198,1,-0.108157,-0.135568,0.206973,-0.655004,-0.160985,0.492386
sma_trend_following,QQQ,chop_2015_2016,198,6,-0.11863,-0.148467,0.131345,-1.13036,-0.163356,0.469565
rsi_mean_reversion,QQQ,chop_2015_2016,198,19,0.091134,0.117399,0.129991,0.903136,-0.084456,0.615385
breakout_20d,QQQ,chop_2015_2016,198,16,0.038297,0.048993,0.040267,1.216712,-0.011752,0.555556
buy_and_hold,QQQ,chop_2018,230,1,-0.153795,-0.167205,0.226165,-0.739304,-0.22795,0.519651
sma_trend_following,QQQ,chop_2018,230,4,-0.031378,-0.034327,0.159107,-0.215748,-0.10526,0.529412
rsi_mean_reversion,QQQ,chop_2018,230,17,0.081817,0.089986,0.111607,0.806277,-0.069158,0.6
breakout_20d,QQQ,chop_2018,230,26,-0.01967,-0.021531,0.041004,-0.5251,-0.039357,0.434783
buy_and_hold,GLD,full_sample,5363,1,9.369531,0.116167,0.179992,0.645399,-0.45555,0.532451
sma_trend_following,GLD,full_sample,5363,109,2.589413,0.061891,0.141333,0.437907,-0.350308,0.541123
rsi_mean_reversion,GLD,full_sample,5363,374,0.038036,0.001756,0.073286,0.023956,-0.299077,0.529817
breakout_20d,GLD,full_sample,5363,784,-0.193039,-0.010028,0.076761,-0.130632,-0.261132,0.539365
buy_and_hold,GLD,post_dotcom_bull,727,1,0.64609,0.188582,0.181006,1.041855,-0.217942,0.550964
sma_trend_following,GLD,post_dotcom_bull,727,17,0.16781,0.055245,0.150073,0.36812,-0.272562,0.543379
rsi_mean_reversion,GLD,post_dotcom_bull,727,52,0.033168,0.011375,0.068633,0.165731,-0.14618,0.551402
breakout_20d,GLD,post_dotcom_bull,727,116,-0.082647,-0.029459,0.077087,-0.382151,-0.125375,0.539683
buy_and_hold,GLD,gfc_bear,355,1,0.233979,0.160956,0.309197,0.52056,-0.294141,0.519774
sma_trend_following,GLD,gfc_bear,355,7,0.004155,0.002948,0.219705,0.013416,-0.350308,0.524444
rsi_mean_reversion,GLD,gfc_bear,355,20,-0.005037,-0.003578,0.129278,-0.027679,-0.142917,0.529412
breakout_20d,GLD,gfc_bear,355,66,-0.090737,-0.065293,0.118019,-0.553244,-0.168716,0.514706
buy_and_hold,GLD,post_gfc_bull,2756,1,0.721286,0.05091,0.156546,0.32521,-0.45555,0.522686
sma_trend_following,GLD,post_gfc_bull,2756,55,0.586398,0.043098,0.11589,0.371886,-0.304006,0.534399
rsi_mean_reversion,GLD,post_gfc_bull,2756,204,-0.040274,-0.003752,0.074967,-0.050044,-0.288036,0.523901
breakout_20d,GLD,post_gfc_bull,2756,355,0.106022,0.009257,0.058477,0.158297,-0.168471,0.542636
buy_and_hold,GLD,covid_crash,23,1,-0.040569,-0.364768,0.324931,-1.122602,-0.125277,0.590909
sma_trend_following,GLD,covid_crash,23,1,-0.040569,-0.364768,0.324931,-1.122602,-0.125277,0.590909
rsi_mean_reversion,GLD,covid_crash,23,2,-0.023095,-0.225864,0.117355,-1.924617,-0.038451,0.4
breakout_20d,GLD,covid_crash,23,4,-0.015376,-0.156144,0.110001,-1.419471,-0.038108,0.666667
buy_and_hold,GLD,covid_rebound,449,1,0.113915,0.062418,0.156035,0.400027,-0.187735,0.53125
sma_trend_following,GLD,covid_rebound,449,12,-0.039192,-0.022189,0.115471,-0.192164,-0.175544,0.538462
rsi_mean_reversion,GLD,covid_rebound,449,36,0.032993,0.018385,0.054825,0.335343,-0.038504,0.552239
breakout_20d,GLD,covid_rebound,449,57,0.027955,0.015595,0.067926,0.229585,-0.108133,0.616438
buy_and_hold,GLD,inflation_bear_2022,196,1,-0.073772,-0.093832,0.147045,-0.638113,-0.210328,0.502564
sma_trend_following,GLD,inflation_bear_2022,196,4,0.011009,0.014176,0.098233,0.14431,-0.107469,0.576923
rsi_mean_reversion,GLD,inflation_bear_2022,196,16,-0.05124,-0.065392,0.074805,-0.874163,-0.103443,0.520833
breakout_20d,GLD,inflation_bear_2022,196,26,-0.061732,-0.07866,0.072702,-1.081938,-0.090025,0.35
buy_and_hold,GLD,ai_bull_2023_2024,502,1,0.414761,0.190259,0.141959,1.340238,-0.113474,0.536926
sma_trend_following,GLD,ai_bull_2023_2024,502,12,0.124913,0.060868,0.117617,0.517509,-0.136285,0.52
rsi_mean_reversion,GLD,ai_bull_2023_2024,502,36,0.077303,0.038086,0.043707,0.871389,-0.043712,0.530303
breakout_20d,GLD,ai_bull_2023_2024,502,84,-0.035823,-0.018146,0.065268,-0.278025,-0.091768,0.481481
buy_and_hold,GLD,chop_2015_2016,198,1,0.052356,0.067105,0.140674,0.477028,-0.144899,0.477157
sma_trend_following,GLD,chop_2015_2016,198,5,0.120673,0.15604,0.100387,1.55439,-0.088426,0.489362
rsi_mean_reversion,GLD,chop_2015_2016,198,10,-0.096543,-0.121216,0.061338,-1.976214,-0.118904,0.446429
breakout_20d,GLD,chop_2015_2016,198,15,0.134473,0.174189,0.066042,2.637565,-0.013501,0.681818
buy_and_hold,GLD,chop_2018,230,1,-0.063325,-0.069168,0.097367,-0.710378,-0.1346,0.484716
sma_trend_following,GLD,chop_2018,230,5,-0.001826,-0.002001,0.06031,-0.033176,-0.056532,0.484848
rsi_mean_reversion,GLD,chop_2018,230,32,0.027041,0.029665,0.043675,0.679225,-0.046003,0.555556
breakout_20d,GLD,chop_2018,230,19,-0.028692,-0.031393,0.017948,-1.749109,-0.033282,0.307692
buy_and_hold,TLT,full_sample,5945,1,1.395339,0.037722,0.143415,0.263024,-0.483506,0.520693
sma_trend_following,TLT,full_sample,5945,121,1.197065,0.033928,0.107761,0.314845,-0.240025,0.524702
rsi_mean_reversion,TLT,full_sample,5945,459,0.204443,0.007916,0.056278,0.140661,-0.180992,0.551502
breakout_20d,TLT,full_sample,5945,818,-0.41111,-0.022195,0.056534,-0.392602,-0.420926,0.491925
buy_and_hold,TLT,dotcom_bear,51,1,0.114309,0.707119,0.111449,6.344789,-0.019876,0.68
sma_trend_following,TLT,dotcom_bear,51,1,0.004701,0.023442,0.011527,2.033756,-0.0005,1.0
rsi_mean_reversion,TLT,dotcom_bear,51,0,0.0,0.0,0.0,0.0,0.0,0.0
breakout_20d,TLT,dotcom_bear,51,8,-0.000562,-0.002776,0.057296,-0.048453,-0.015263,0.6
buy_and_hold,TLT,post_dotcom_bull,1258,1,0.250803,0.045848,0.099222,0.462077,-0.156767,0.522673
sma_trend_following,TLT,post_dotcom_bull,1258,29,0.081841,0.015883,0.076495,0.20763,-0.099414,0.531995
rsi_mean_reversion,TLT,post_dotcom_bull,1258,82,-0.118497,-0.024949,0.043798,-0.569639,-0.1681,0.481982
breakout_20d,TLT,post_dotcom_bull,1258,200,-0.102538,-0.021438,0.038187,-0.561396,-0.144148,0.539171
buy_and_hold,TLT,gfc_bear,355,1,0.249375,0.171219,0.17636,0.97085,-0.161916,0.50565
sma_trend_following,TLT,gfc_bear,355,8,0.0344,0.024299,0.144924,0.167668,-0.149314,0.478088
rsi_mean_reversion,TLT,gfc_bear,355,28,0.031824,0.022488,0.062338,0.360737,-0.080994,0.625
breakout_20d,TLT,gfc_bear,355,58,0.093173,0.06528,0.082695,0.789411,-0.06891,0.491228
buy_and_hold,TLT,post_gfc_bull,2756,1,0.972634,0.064089,0.13992,0.458042,-0.206544,0.534664
sma_trend_following,TLT,post_gfc_bull,2756,57,0.725359,0.051137,0.107791,0.474414,-0.183465,0.538037
rsi_mean_reversion,TLT,post_gfc_bull,2756,206,0.26314,0.021589,0.048514,0.445017,-0.072187,0.601626
breakout_20d,TLT,post_gfc_bull,2756,382,-0.23299,-0.023962,0.057663,-0.415558,-0.31042,0.489305
buy_and_hold,TLT,covid_crash,23,1,0.132864,2.922844,0.564497,5.177784,-0.157287,0.636364
sma_trend_following,TLT,covid_crash,23,1,0.132864,2.922844,0.564497,5.177784,-0.157287,0.636364
rsi_mean_reversion,TLT,covid_crash,23,0,0.0,0.0,0.0,0.0,0.0,0.0
