strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate
sma_trend_following,XLU,covid_rebound,449,13,0.007074,0.003964,0.134564,0.029458,-0.180835,0.49635
rsi_mean_reversion,XLU,covid_rebound,449,28,0.26592,0.141498,0.093181,1.51853,-0.044562,0.5
breakout_20d,XLU,covid_rebound,449,75,-0.106464,-0.061224,0.066682,-0.918155,-0.125316,0.493151
buy_and_hold,XLU,inflation_bear_2022,196,1,-0.113609,-0.14363,0.209493,-0.685609,-0.207182,0.512821
sma_trend_following,XLU,inflation_bear_2022,196,6,-0.068826,-0.087606,0.126975,-0.689943,-0.130195,0.504854
rsi_mean_reversion,XLU,inflation_bear_2022,196,15,-0.05793,-0.073857,0.137582,-0.536822,-0.122005,0.531915
breakout_20d,XLU,inflation_bear_2022,196,26,-0.009391,-0.012057,0.056828,-0.212171,-0.042786,0.48
buy_and_hold,XLU,ai_bull_2023_2024,502,1,0.144107,0.069916,0.166216,0.420635,-0.201765,0.516966
sma_trend_following,XLU,ai_bull_2023_2024,502,14,-0.037392,-0.018948,0.115206,-0.164474,-0.178631,0.498208
rsi_mean_reversion,XLU,ai_bull_2023_2024,502,28,0.051851,0.025701,0.067567,0.380383,-0.06947,0.52
breakout_20d,XLU,ai_bull_2023_2024,502,80,-0.005734,-0.002883,0.058261,-0.049479,-0.073106,0.512195
buy_and_hold,XLU,chop_2015_2016,198,1,0.05676,0.072791,0.164207,0.443289,-0.107034,0.517766
sma_trend_following,XLU,chop_2015_2016,198,7,-0.014544,-0.018474,0.129327,-0.142848,-0.139194,0.541667
rsi_mean_reversion,XLU,chop_2015_2016,198,8,0.052516,0.067311,0.048995,1.373846,-0.014085,0.6
breakout_20d,XLU,chop_2015_2016,198,36,-0.049574,-0.062663,0.062197,-1.007483,-0.087967,0.419355
buy_and_hold,XLU,chop_2018,230,1,0.044359,0.048704,0.153358,0.317583,-0.086822,0.519651
sma_trend_following,XLU,chop_2018,230,5,-0.016499,-0.018063,0.118457,-0.152483,-0.086822,0.516556
rsi_mean_reversion,XLU,chop_2018,230,11,0.049199,0.05403,0.042047,1.284989,-0.016475,0.692308
breakout_20d,XLU,chop_2018,230,32,-0.034391,-0.037617,0.053567,-0.702248,-0.063846,0.515152
top2_relative_strength_rotation,PORTFOLIO,full_sample,5363,1706,6.124237,0.096652,0.155445,0.621781,-0.319753,0.541104
dual_momentum_rotation,PORTFOLIO,full_sample,5363,998,2.847923,0.065366,0.210368,0.310724,-0.559285,0.529951
regime_defensive_rotation,PORTFOLIO,full_sample,5363,714,5.966074,0.095496,0.13512,0.706752,-0.289185,0.547337
top2_relative_strength_rotation,PORTFOLIO,post_dotcom_bull,727,219,0.733849,0.210176,0.135787,1.547829,-0.100073,0.570605
dual_momentum_rotation,PORTFOLIO,post_dotcom_bull,727,111,0.309422,0.097952,0.185589,0.527789,-0.266138,0.541076
regime_defensive_rotation,PORTFOLIO,post_dotcom_bull,727,86,0.335395,0.105453,0.108622,0.970822,-0.121514,0.564254
top2_relative_strength_rotation,PORTFOLIO,gfc_bear,355,133,-0.133081,-0.096406,0.220796,-0.436627,-0.283772,0.498542
dual_momentum_rotation,PORTFOLIO,gfc_bear,355,93,-0.534226,-0.418632,0.333939,-1.253616,-0.554562,0.480226
regime_defensive_rotation,PORTFOLIO,gfc_bear,355,38,-0.199301,-0.145963,0.175255,-0.83286,-0.263284,0.502825
top2_relative_strength_rotation,PORTFOLIO,post_gfc_bull,2756,884,0.721498,0.050922,0.124257,0.409812,-0.319753,0.533234
dual_momentum_rotation,PORTFOLIO,post_gfc_bull,2756,544,0.971498,0.064033,0.163854,0.390795,-0.301732,0.522323
regime_defensive_rotation,PORTFOLIO,post_gfc_bull,2756,372,2.887921,0.132197,0.12072,1.095065,-0.135445,0.552087
top2_relative_strength_rotation,PORTFOLIO,covid_crash,23,6,0.009822,0.113038,0.51264,0.220502,-0.15382,0.428571
dual_momentum_rotation,PORTFOLIO,covid_crash,23,1,0.042241,0.573512,0.586675,0.977562,-0.157287,0.545455
regime_defensive_rotation,PORTFOLIO,covid_crash,23,1,-0.154386,-0.840756,0.305103,-2.755646,-0.166968,0.409091
top2_relative_strength_rotation,PORTFOLIO,covid_rebound,449,150,0.643063,0.321403,0.210682,1.525537,-0.128808,0.565315
dual_momentum_rotation,PORTFOLIO,covid_rebound,449,78,0.774679,0.379805,0.30263,1.255014,-0.199286,0.558036
regime_defensive_rotation,PORTFOLIO,covid_rebound,449,72,0.412129,0.213715,0.182395,1.171715,-0.138035,0.566964
top2_relative_strength_rotation,PORTFOLIO,inflation_bear_2022,196,57,-0.046802,-0.059767,0.220579,-0.270953,-0.22731,0.5
dual_momentum_rotation,PORTFOLIO,inflation_bear_2022,196,31,0.083545,0.108672,0.293948,0.369697,-0.248092,0.476923
regime_defensive_rotation,PORTFOLIO,inflation_bear_2022,196,16,-0.161745,-0.202953,0.159305,-1.273992,-0.18497,0.471795
top2_relative_strength_rotation,PORTFOLIO,ai_bull_2023_2024,502,148,0.211179,0.100956,0.131285,0.768981,-0.116858,0.559917
dual_momentum_rotation,PORTFOLIO,ai_bull_2023_2024,502,84,0.400722,0.184316,0.169963,1.084448,-0.224162,0.56487
regime_defensive_rotation,PORTFOLIO,ai_bull_2023_2024,502,77,0.356077,0.165214,0.128802,1.282692,-0.099438,0.560878
top2_relative_strength_rotation,PORTFOLIO,chop_2015_2016,198,84,-0.107058,-0.134213,0.112279,-1.19535,-0.168185,0.465517
dual_momentum_rotation,PORTFOLIO,chop_2015_2016,198,57,-0.19311,-0.238973,0.155419,-1.5376,-0.241174,0.456853
regime_defensive_rotation,PORTFOLIO,chop_2015_2016,198,32,0.074781,0.096129,0.10464,0.918667,-0.090002,0.517766
top2_relative_strength_rotation,PORTFOLIO,chop_2018,230,79,-0.139735,-0.152032,0.108207,-1.40501,-0.179886,0.509259
dual_momentum_rotation,PORTFOLIO,chop_2018,230,50,-0.141681,-0.154133,0.153251,-1.005754,-0.169293,0.484716
regime_defensive_rotation,PORTFOLIO,chop_2018,230,23,-0.103607,-0.112937,0.107234,-1.053178,-0.124681,0.528384
