strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades
buy_and_hold,1.4495674461538461,0.008347415384615387,0.2611640769230769,0.2991128923076923,-0.2860623384615385,0.5067655076923077,1.0
top2_relative_strength_rotation,0.8016971999999999,0.0450729,0.1931957,0.17865019999999998,-0.1998218,0.5172064000000001,346.6
rsi_mean_reversion,0.14356286153846154,-0.0334444,0.14496792307692308,0.11473941538461536,-0.13926184615384615,0.5138255538461538,83.43076923076923
dual_momentum_rotation,0.4561013,0.0661918,0.2555636,0.11190589999999997,-0.2921011,0.5160429,204.7
regime_defensive_rotation,0.9413338,-0.0494405,0.1527196,0.02300369999999998,-0.1613522,0.5221381,143.1
sma_trend_following,0.35908733846153845,0.0029790923076923087,0.1558996769230769,0.0029735230769230665,-0.1988152923076923,0.5010428,25.923076923076923
breakout_20d,-0.08426550769230769,-0.013498630769230769,0.06408012307692307,-0.3133776923076923,-0.14707212307692308,0.4621698307692308,193.36923076923077
