period,strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades
full_sample,sma_trend_following,2.6082838333333336,0.0440075,0.141768,0.32300049999999997,-0.4007621666666667,0.5300256666666666,141.0
full_sample,dual_momentum_rotation,2.847923,0.065366,0.210368,0.310724,-0.559285,0.529951,998.0
full_sample,rsi_mean_reversion,1.008732,0.021265000000000003,0.10398966666666666,0.19807716666666667,-0.31953716666666665,0.5352633333333333,455.8333333333333
full_sample,breakout_20d,-0.4502175,-0.02376666666666667,0.0675275,-0.36735216666666665,-0.5365381666666666,0.5117968333333334,1097.5
gfc_bear,rsi_mean_reversion,-0.1050185,-0.07746983333333333,0.1983771666666667,-0.3023788333333333,-0.20800116666666665,0.49682833333333337,28.0
gfc_bear,buy_and_hold,-0.24866266666666667,-0.20052983333333332,0.35565766666666665,-0.39440633333333336,-0.43004533333333334,0.4943503333333334,1.0
gfc_bear,top2_relative_strength_rotation,-0.133081,-0.096406,0.220796,-0.436627,-0.283772,0.498542,133.0
gfc_bear,sma_trend_following,-0.13508699999999998,-0.09946300000000001,0.1771775,-0.589857,-0.24741466666666667,0.511054,8.166666666666666
gfc_bear,regime_defensive_rotation,-0.199301,-0.145963,0.175255,-0.83286,-0.263284,0.502825,38.0
gfc_bear,breakout_20d,-0.11898716666666669,-0.08729100000000001,0.08425933333333334,-1.1667228333333333,-0.16191533333333333,0.42618399999999995,46.666666666666664
gfc_bear,dual_momentum_rotation,-0.534226,-0.418632,0.333939,-1.253616,-0.554562,0.480226,93.0
inflation_bear_2022,dual_momentum_rotation,0.083545,0.108672,0.293948,0.369697,-0.248092,0.476923,31.0
inflation_bear_2022,rsi_mean_reversion,0.005518833333333331,0.0077399999999999995,0.13246666666666665,-0.008522500000000025,-0.09845283333333334,0.5066328333333333,22.833333333333332
inflation_bear_2022,top2_relative_strength_rotation,-0.046802,-0.059767,0.220579,-0.270953,-0.22731,0.5,57.0
