strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
spy_tlt_60_40,4.481914,0.084444,0.111323,0.75855,-0.299265,0.552572,0.0,-2.560766,-0.01998699999999999,0.2104999999999999,0.25268199999999996,True
equal_weight_buy_hold,4.97815,0.088931,0.136836,0.649911,-0.373571,0.543873,0.0,-2.0645299999999995,-0.0155,0.10186099999999998,0.17837599999999998,True
buy_hold_spy,7.04268,0.104431,0.190551,0.54805,-0.551947,0.550303,0.0,0.0,0.0,0.0,0.0,True
keller_vaa_lite,4.777792,0.087164,0.179674,0.485121,-0.316492,0.523999,144.0,-2.264888,-0.01726699999999999,-0.06292900000000001,0.23545499999999997,False
buy_and_hold,9.4869092,0.0789696,0.200042,0.404354,-0.5593416,0.5222629999999999,1.0,0.0,0.0,0.0,0.0,True
