strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,is_baseline,baseline_total_return,excess_total_return,baseline_annualized_return,excess_annualized_return,baseline_sharpe,excess_sharpe,baseline_max_drawdown,excess_max_drawdown
buy_and_hold,SPY,full_sample,8340,1,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
buy_and_hold,EWA,full_sample,7549,1,8.302326,0.077292,0.262277,0.294696,-0.669565,0.491123,True,8.302326,0.0,0.077292,0.0,0.294696,0.0,-0.669565,0.0
buy_and_hold,VGK,full_sample,5289,1,2.434656,0.060554,0.228468,0.265043,-0.63614,0.526853,True,2.434656,0.0,0.060554,0.0,0.265043,0.0,-0.63614,0.0
buy_and_hold,TLT,full_sample,5947,1,1.389667,0.037604,0.143395,0.262243,-0.483506,0.520854,True,1.389667,0.0,0.037604,0.0,0.262243,0.0,-0.483506,0.0
buy_and_hold,GLD,full_sample,5365,1,9.021181,0.114331,0.180095,0.634839,-0.45555,0.532252,True,9.021181,0.0,0.114331,0.0,0.634839,0.0,-0.45555,0.0
keller_vaa_lite,PORTFOLIO,full_sample,5289,144,4.777792,0.087164,0.179674,0.485121,-0.316492,0.523999,False,7.04268,-2.264888,0.104431,-0.01726699999999999,0.54805,-0.06292900000000001,-0.551947,0.23545499999999997
buy_hold_spy,PORTFOLIO,full_sample,5289,0,7.04268,0.104431,0.190551,0.54805,-0.551947,0.550303,True,7.04268,0.0,0.104431,0.0,0.54805,0.0,-0.551947,0.0
equal_weight_buy_hold,PORTFOLIO,full_sample,5289,0,4.97815,0.088931,0.136836,0.649911,-0.373571,0.543873,True,7.04268,-2.0645299999999995,0.104431,-0.0155,0.54805,0.10186099999999998,-0.551947,0.17837599999999998
spy_tlt_60_40,PORTFOLIO,full_sample,5289,0,4.481914,0.084444,0.111323,0.75855,-0.299265,0.552572,True,7.04268,-2.560766,0.104431,-0.01998699999999999,0.54805,0.2104999999999999,-0.551947,0.25268199999999996
